date,description,amount,category,vendor
2024-01-02,Office rent payment,-67335,Office & Rent,Office Landlord
2024-01-03,Influencer Agency campaign spend,-16338,Marketing & Ads,Influencer Agency
2024-01-04,HubSpot subscription,-3776,SaaS Tools,HubSpot
2024-01-07,B2C sales batch - Marketplace Channel,54453,Revenue - B2C,Marketplace Channel
2024-01-07,B2B subscription invoice - Enterprise Alpha,83278,Revenue - B2B,Enterprise Alpha
2024-01-08,B2C sales batch - Retail POS,17082,Revenue - B2C,Retail POS
2024-01-08,Slack subscription,-3263,SaaS Tools,Slack
2024-01-11,B2C sales batch - Online Storefront,53698,Revenue - B2C,Online Storefront
2024-01-11,Refund / credit to customer,-5611,Refunds / Credits,Enterprise Alpha
2024-01-11,Refund / credit to customer,-11654,Refunds / Credits,Marketplace Channel
2024-01-12,Hardware / equipment purchase,-89615,Hardware / CAPEX,Hardware Supplier
2024-01-15,B2B subscription invoice - Enterprise Alpha,168696,Revenue - B2B,Enterprise Alpha
2024-01-19,B2C sales batch - Online Storefront,57590,Revenue - B2C,Online Storefront
2024-01-20,B2B subscription invoice - GlobalGamma Ltd,112098,Revenue - B2B,GlobalGamma Ltd
2024-01-21,Monthly salaries & payroll,-259131,Salaries & Payroll,Payroll
2024-01-21,Monthly cloud hosting bill,-25231,Cloud Hosting,Azure
2024-01-21,B2C sales batch - Online Storefront,30247,Revenue - B2C,Online Storefront
2024-01-22,LinkedIn Ads campaign spend,-32541,Marketing & Ads,LinkedIn Ads
2024-01-23,B2C sales batch - Marketplace Channel,50713,Revenue - B2C,Marketplace Channel
2024-01-24,Refund / credit to customer,-2106,Refunds / Credits,Delta Solutions
2024-01-24,Operational expense - CateringCo,-22571,Logistics & Ops,CateringCo
2024-01-24,HubSpot subscription,-2337,SaaS Tools,HubSpot
2024-01-26,B2C sales batch - Online Storefront,51781,Revenue - B2C,Online Storefront
2024-01-29,B2B subscription invoice - Corp Beta,98289,Revenue - B2B,Corp Beta
2024-01-29,B2C sales batch - Online Storefront,21140,Revenue - B2C,Online Storefront
2024-01-30,Professional services - Hardware Supplier,-34213,Professional Services,Hardware Supplier
2024-02-01,B2C sales batch - Online Storefront,21619,Revenue - B2C,Online Storefront
2024-02-02,B2B subscription invoice - Corp Beta,172349,Revenue - B2B,Corp Beta
2024-02-06,B2B subscription invoice - GlobalGamma Ltd,155674,Revenue - B2B,GlobalGamma Ltd
2024-02-10,Mailchimp subscription,-4608,SaaS Tools,Mailchimp
2024-02-12,Operational expense - Cleaning Services,-11967,Logistics & Ops,Cleaning Services
2024-02-12,B2C sales batch - Retail POS,33217,Revenue - B2C,Retail POS
2024-02-12,Refund / credit to customer,-12980,Refunds / Credits,Marketplace Channel
